Cell_ID,I,J,X,Y
402,132,14,409916.28,4094167.25
403,133,14,410363.03,4094432.75
404,134,14,410753.28,4094720
405,135,14,411100.53,4095037.5
406,136,14,411421.53,4095395.25
407,137,14,411732,4095800
408,138,14,412045,4096267.25
409,139,14,412370.53,4096810.25
410,140,14,412714.97,4097432.25
411,141,14,413081.97,4098142.5
412,142,14,413472.25,4098947.25
413,143,14,413884.56,4099847.75
414,144,14,414314.56,4100837.5
415,145,14,414755.62,4101917.5
416,146,14,415198.59,4103080
417,148,14,416022.72,4105587.5
418,149,14,416358.47,4106890
419,150,14,416611.69,4108184.75
420,92,15,359993.91,4096067.5
421,98,15,367944.03,4088710
422,99,15,368876.47,4087455.25
423,100,15,369870.44,4086390
424,101,15,371080.44,4085724.75
425,102,15,372582.97,4085325
426,103,15,374143,4084982.75
427,104,15,375645.41,4084650.25
428,107,15,380220.44,4084535.25
429,108,15,381290.47,4084857.5
430,113,15,391112.53,4089257.5
431,114,15,392832.44,4089337.5
432,115,15,394685,4089340.25
433,116,15,396412.72,4089440
434,117,15,397901.16,4089763
435,118,15,399033.59,4090302.75
436,119,15,399870.31,4090930.25
437,120,15,400677.31,4091485
438,121,15,401460.91,4091978
439,122,15,402226.19,4092417.25
440,123,15,402976.38,4092815.25
441,124,15,403714.81,4093175
442,125,15,404444,4093499.75
443,126,15,405165.03,4093795.5
444,127,15,405877.59,4094065.25
445,128,15,406578.38,4094310
446,129,15,407259.09,4094537.5
447,130,15,407906.28,4094757.5
448,131,15,408502.97,4094980.25
449,132,15,409035.28,4095215
450,133,15,409499.09,4095465.25
451,134,15,409901.25,4095742.5
452,135,15,410257.19,4096052.5
453,136,15,410585.25,4096397
454,137,15,410902.25,4096787.25
455,138,15,411222,4097242.25
456,139,15,411554.53,4097770.25
457,140,15,411906.16,4098377.25
458,141,15,412280.72,4099072.25
459,142,15,412678.44,4099860.25
460,143,15,413097.69,4100747.5
461,144,15,413533.69,4101727.25
462,145,15,413979.72,4102800
463,146,15,414425.44,4103960
464,148,15,415253.16,4106475
465,149,15,415596.91,4107795
466,150,15,415877.44,4109122.25
467,92,16,360321.38,4096895
468,93,16,361825.53,4095860.25
469,94,16,363251.03,4094730.25
470,95,16,364606.84,4093547.5
471,96,16,365882.88,4092297.5
472,98,16,368153.41,4089630
473,99,16,369164.97,4088330.25
474,100,16,370245.47,4087177.5
475,101,16,371455.41,4086419.75
476,102,16,372860.44,4086040
477,103,16,374305.47,4085772.5
478,104,16,375740.41,4085520.25
479,107,16,380135.41,4085608
480,108,16,381205.41,4085895.25
481,113,16,390052.84,4090285
482,114,16,391706.25,4090537.5
483,115,16,393456.72,4090620.25
484,116,16,395090.75,4090782.5
485,117,16,396506.62,4091137.5
486,118,16,397657.69,4091632.75
487,119,16,398555.41,4092220.25
488,120,16,399398.59,4092757.75
489,121,16,400219.12,4093232.75
490,122,16,401021.88,4093654.75
491,123,16,401810.12,4094035
492,124,16,402587.03,4094380.25
493,125,16,403354.97,4094690.25
494,126,16,404115.03,4094967.75
495,127,16,404866.38,4095219.75
496,128,16,405605.16,4095447.25
497,129,16,406321.75,4095657.5
498,130,16,407001.44,4095862.5
499,131,16,407626.25,4096072.75
500,132,16,408181.53,4096292.5
501,133,16,408662.75,4096535
502,134,16,409077.97,4096807.25
503,135,16,409444.44,4097109.75
504,136,16,409781.28,4097447.25
505,137,16,410106.19,4097830
506,138,16,410433.97,4098275
507,139,16,410774.75,4098790
508,140,16,411134.97,4099385
509,141,16,411518.25,4100070
510,142,16,411924.75,4100847
511,143,16,412352.16,4101722.5
512,144,16,412796.16,4102695
513,145,16,413249.75,4103762.25
514,148,16,414554.41,4107447.75
515,80,17,344524.31,4114035
516,81,17,346897.28,4113297.5
517,84,17,352332.16,4110772.25
518,85,17,352697.16,4107832.75
519,86,17,352487.59,4105267.25
520,87,17,352605.19,4102844.75
521,88,17,353794.97,4101185
522,89,17,355609.12,4100165
523,90,17,357494.88,4099509.75
524,91,17,359126.59,4098672.75
525,92,17,360576.56,4097550
526,93,17,362027.56,4096457.5
527,94,17,363429.31,4095345.25
528,95,17,364759.84,4094185.25
529,96,17,366007.84,4092963
530,97,17,367168.09,4091682.5
531,98,17,368255.25,4090373
532,99,17,369326.19,4089102.75
533,100,17,370465.47,4087970
534,101,17,371656.62,4087205
535,102,17,372990.44,4086787.5
536,103,17,374385.41,4086553
537,104,17,375805.38,4086504.75
538,107,17,380015.41,4086707.75
539,108,17,381117.88,4086965
540,113,17,389177.84,4091195.5
541,114,17,390692.81,4091612.25
542,115,17,392311.47,4091839.75
543,116,17,393858.97,4092075
544,117,17,395216.12,4092465.25
545,118,17,396353.25,4092967.25
546,119,17,397284.44,4093535
547,120,17,398162.09,4094055
548,121,17,399017.84,4094512.75
549,122,17,399856.31,4094917
550,123,17,400680.84,4095280
551,124,17,401494.81,4095605
552,125,17,402300.31,4095897.25
553,126,17,403097.88,4096159.75
554,127,17,403886.62,4096395
555,128,17,404662.03,4096607.75
556,129,17,405413.81,4096802.25
557,130,17,406125.75,4096989.75
558,131,17,406778.47,4097187.5
559,132,17,407356.75,4097402.5
560,133,17,407856.56,4097642.25
561,134,17,408286.56,4097910
562,135,17,408664.81,4098207.75
563,136,17,409011.69,4098540.25
564,137,17,409346.19,4098920.25
565,138,17,409682.97,4099360.25
566,139,17,410032.69,4099867.5
567,140,17,410402.41,4100454.75
568,141,17,410795.47,4101132.25
569,142,17,411212.12,4101902.75
570,143,17,411649.75,4102770.25
571,144,17,412104.19,4103737.25
572,145,17,412569.25,4104797.5
573,147,17,413494.25,4107185.25
574,148,17,413934.47,4108495
575,80,18,345069.75,4114850
576,81,18,348074.72,4115287.25
577,83,18,352343.12,4113782.75
578,84,18,352907.62,4111219.75
579,85,18,353135.16,4108257.5
580,86,18,353185.69,4105785.25
581,87,18,353736.25,4103859.75
582,88,18,354853.91,4102352.25
583,89,18,356327.88,4101140.25
584,90,18,357941.38,4100265.25
585,91,18,359439.44,4099304.75
586,92,18,360852.38,4098172.75
587,93,18,362273.88,4097082.5
588,94,18,363652.41,4095985
589,95,18,364959,4094847.75
590,96,18,366179.56,4093650.25
591,97,18,367313.09,4092395
592,98,18,368382.56,4091112.25
593,99,18,369442,4089875.25
594,100,18,370560.72,4088777.5
595,101,18,371754.47,4088007.75
596,102,18,373062.97,4087528
597,103,18,374432.88,4087275.5
598,104,18,375862.75,4087340.25
