126 12 10     307 11341 20466 28051 34374 39499 43670 46943 49461 51265
127 12 10     308 11342 20467 28052 34375 39500 43671 46944 49462 51266
128 12 10     309 11343 20468 28053 34376 39501 43672 46945 49463 51267
129 12 10     310 11344 20469 28054 34377 39502 43673 46946 49464 51268
130 12 10     311 11345 20470 28055 34378 39503 43674 46947 49465 51269
131 12 11     312 11346 20471 28056 34379 39504 43675 46948 49466 51270 52587
132 12 11     313 11347 20472 28057 34380 39505 43676 46949 49467 51271 52588
133 12 11     314 11348 20473 28058 34381 39506 43677 46950 49468 51272 52589
134 12  6     315 11349 20474 28059 34382 39507
135 12  5     316 11350 20475 28060 34383
136 12  5     317 11351 20476 28061 34384
137 12  5     318 11352 20477 28062 34385
138 12  5     319 11353 20478 28063 34386
139 12  4     320 11354 20479 28064
140 12  4     321 11355 20480 28065
141 12  3     322 11356 20481
142 12  3     323 11357 20482
143 12  3     324 11358 20483
144 12  8     325 11359 20484 28066 34387 39508 43678 46951
145 12  3     326 11360 20485
146 12  5     327 11361 20486 28067 34388
147 12  5     328 11362 20487 28068 34389
148 12  1     329
149 12  1     330
150 12  2     331 11363
 98 13  1     332
100 13  1     333
101 13  1     334
107 13  2     335 11364
108 13  6     336 11365 20488 28069 34390 39509
109 13  2     337 11366
114 13  2     338 11367
116 13  3     339 11368 20489
117 13  4     340 11369 20490 28070
118 13  4     341 11370 20491 28071
119 13  5     342 11371 20492 28072 34391
120 13  6     343 11372 20493 28073 34392 39510
121 13  6     344 11373 20494 28074 34393 39511
122 13  6     345 11374 20495 28075 34394 39512
123 13  7     346 11375 20496 28076 34395 39513 43679
124 13  9     347 11376 20497 28077 34396 39514 43680 46952 49469
125 13  9     348 11377 20498 28078 34397 39515 43681 46953 49470
126 13  7     349 11378 20499 28079 34398 39516 43682
127 13  7     350 11379 20500 28080 34399 39517 43683
128 13  8     351 11380 20501 28081 34400 39518 43684 46954
129 13  7     352 11381 20502 28082 34401 39519 43685
130 13 10     353 11382 20503 28083 34402 39520 43686 46955 49471 51273
131 13 11     354 11383 20504 28084 34403 39521 43687 46956 49472 51274 52590
132 13 11     355 11384 20505 28085 34404 39522 43688 46957 49473 51275 52591
133 13 11     356 11385 20506 28086 34405 39523 43689 46958 49474 51276 52592
134 13  6     357 11386 20507 28087 34406 39524
135 13  5     358 11387 20508 28088 34407
136 13  5     359 11388 20509 28089 34408
137 13  5     360 11389 20510 28090 34409
138 13  4     361 11390 20511 28091
139 13  4     362 11391 20512 28092
140 13  3     363 11392 20513
141 13  3     364 11393 20514
142 13  3     365 11394 20515
143 13  4     366 11395 20516 28093
144 13  8     367 11396 20517 28094 34410 39525 43690 46959
145 13  5     368 11397 20518 28095 34411
146 13  5     369 11398 20519 28096 34412
147 13  2     370 11399
148 13  2     371 11400
149 13  2     372 11401
150 13  2     373 11402
 97 14  1     374
 98 14  1     375
 99 14  1     376
100 14  1     377
101 14  1     378
108 14  6     379 11403 20520 28097 34413 39526
109 14  2     380 11404
110 14  1     381
111 14  1     382
113 14  2     383 11405
114 14  3     384 11406 20521
115 14  3     385 11407 20522
116 14  4     386 11408 20523 28098
117 14  4     387 11409 20524 28099
118 14  4     388 11410 20525 28100
119 14  5     389 11411 20526 28101 34414
120 14  6     390 11412 20527 28102 34415 39527
121 14  6     391 11413 20528 28103 34416 39528
122 14  9     392 11414 20529 28104 34417 39529 43691 46960 49475
123 14  9     393 11415 20530 28105 34418 39530 43692 46961 49476
124 14  9     394 11416 20531 28106 34419 39531 43693 46962 49477
125 14  9     395 11417 20532 28107 34420 39532 43694 46963 49478
126 14  5     396 11418 20533 28108 34421
127 14  6     397 11419 20534 28109 34422 39533
128 14  6     398 11420 20535 28110 34423 39534
129 14  7     399 11421 20536 28111 34424 39535 43695
130 14 10     400 11422 20537 28112 34425 39536 43696 46964 49479 51277
131 14 11     401 11423 20538 28113 34426 39537 43697 46965 49480 51278 52593
132 14 11     402 11424 20539 28114 34427 39538 43698 46966 49481 51279 52594
133 14 11     403 11425 20540 28115 34428 39539 43699 46967 49482 51280 52595
134 14  6     404 11426 20541 28116 34429 39540
135 14  5     405 11427 20542 28117 34430
136 14  4     406 11428 20543 28118
137 14  4     407 11429 20544 28119
138 14  3     408 11430 20545
139 14  3     409 11431 20546
140 14  3     410 11432 20547
141 14  3     411 11433 20548
142 14  5     412 11434 20549 28120 34431
143 14  5     413 11435 20550 28121 34432
144 14  8     414 11436 20551 28122 34433 39541 43700 46968
145 14  5     415 11437 20552 28123 34434
146 14  5     416 11438 20553 28124 34435
148 14  1     417
149 14  1     418
150 14  1     419
 92 15  1     420
 98 15  1     421
 99 15  1     422
100 15  1     423
101 15  1     424
102 15  1     425
103 15  1     426
104 15  1     427
107 15  4     428 11439 20554 28125
108 15  6     429 11440 20555 28126 34436 39542
113 15  3     430 11441 20556
114 15  4     431 11442 20557 28127
115 15  4     432 11443 20558 28128
116 15  4     433 11444 20559 28129
117 15  4     434 11445 20560 28130
118 15  5     435 11446 20561 28131 34437
119 15  6     436 11447 20562 28132 34438 39543
120 15  6     437 11448 20563 28133 34439 39544
121 15  6     438 11449 20564 28134 34440 39545
122 15  9     439 11450 20565 28135 34441 39546 43701 46969 49483
123 15  9     440 11451 20566 28136 34442 39547 43702 46970 49484
124 15  4     441 11452 20567 28137
125 15  4     442 11453 20568 28138
126 15  5     443 11454 20569 28139 34443
127 15  5     444 11455 20570 28140 34444
128 15  6     445 11456 20571 28141 34445 39548
129 15  7     446 11457 20572 28142 34446 39549 43703
130 15 10     447 11458 20573 28143 34447 39550 43704 46971 49485 51281
131 15 11     448 11459 20574 28144 34448 39551 43705 46972 49486 51282 52596
132 15 11     449 11460 20575 28145 34449 39552 43706 46973 49487 51283 52597
133 15 11     450 11461 20576 28146 34450 39553 43707 46974 49488 51284 52598
134 15  5     451 11462 20577 28147 34451
135 15  4     452 11463 20578 28148
136 15  4     453 11464 20579 28149
137 15  4     454 11465 20580 28150
138 15  3     455 11466 20581
139 15  3     456 11467 20582
140 15  3     457 11468 20583
141 15  4     458 11469 20584 28151
142 15  5     459 11470 20585 28152 34452
143 15  5     460 11471 20586 28153 34453
144 15  8     461 11472 20587 28154 34454 39554 43708 46975
145 15  2     462 11473
146 15  1     463
148 15  1     464
149 15  1     465
150 15  1     466
 92 16  1     467
 93 16  1     468
 94 16  1     469
 95 16  1     470
 96 16  1     471
 98 16  1     472
 99 16  1     473
100 16  2     474 11474
101 16  2     475 11475
102 16  2     476 11476
103 16  2     477 11477
104 16  2     478 11478
107 16  5     479 11479 20588 28155 34455
108 16  6     480 11480 20589 28156 34456 39555
113 16  4     481 11481 20590 28157
114 16  4     482 11482 20591 28158
115 16  4     483 11483 20592 28159
116 16  4     484 11484 20593 28160
117 16  5     485 11485 20594 28161 34457
118 16  5     486 11486 20595 28162 34458
119 16  6     487 11487 20596 28163 34459 39556
120 16  7     488 11488 20597 28164 34460 39557 43709
121 16  7     489 11489 20598 28165 34461 39558 43710
122 16  9     490 11490 20599 28166 34462 39559 43711 46976 49489
123 16  9     491 11491 20600 28167 34463 39560 43712 46977 49490
124 16  5     492 11492 20601 28168 34464
125 16  5     493 11493 20602 28169 34465
126 16  5     494 11494 20603 28170 34466
127 16  6     495 11495 20604 28171 34467 39561
128 16  6     496 11496 20605 28172 34468 39562
129 16  7     497 11497 20606 28173 34469 39563 43713
130 16 10     498 11498 20607 28174 34470 39564 43714 46978 49491 51285
131 16 12     499 11499 20608 28175 34471 39565 43715 46979 49492 51286 52599 53635
132 16 12     500 11500 20609 28176 34472 39566 43716 46980 49493 51287 52600 53636
133 16 12     501 11501 20610 28177 34473 39567 43717 46981 49494 51288 52601 53637
134 16  5     502 11502 20611 28178 34474
135 16  4     503 11503 20612 28179
136 16  4     504 11504 20613 28180
137 16  4     505 11505 20614 28181
138 16  4     506 11506 20615 28182
139 16  4     507 11507 20616 28183
140 16  4     508 11508 20617 28184
141 16  5     509 11509 20618 28185 34475
142 16  5     510 11510 20619 28186 34476
143 16  6     511 11511 20620 28187 34477 39568
144 16  8     512 11512 20621 28188 34478 39569 43718 46982
145 16  4     513 11513 20622 28189
148 16  1     514
 80 17  1     515
 81 17  1     516
 84 17  1     517
 85 17  1     518
 86 17  1     519
 87 17  2     520 11514
 88 17  1     521
 89 17  1     522
 90 17  1     523
 91 17  1     524
 92 17  1     525
 93 17  1     526
 94 17  1     527
 95 17  1     528
 96 17  1     529
 97 17  1     530
 98 17  1     531
 99 17  1     532
100 17  2     533 11515
101 17  2     534 11516
102 17  2     535 11517
103 17  2     536 11518
104 17  2     537 11519
107 17  6     538 11520 20623 28190 34479 39570
108 17  7     539 11521 20624 28191 34480 39571 43719
113 17  4     540 11522 20625 28192
114 17  4     541 11523 20626 28193
115 17  4     542 11524 20627 28194
116 17  5     543 11525 20628 28195 34481
117 17  5     544 11526 20629 28196 34482
118 17  6     545 11527 20630 28197 34483 39572
119 17  7     546 11528 20631 28198 34484 39573 43720
120 17  7     547 11529 20632 28199 34485 39574 43721
121 17  6     548 11530 20633 28200 34486 39575
122 17  5     549 11531 20634 28201 34487
123 17  5     550 11532 20635 28202 34488
124 17  5     551 11533 20636 28203 34489
125 17  5     552 11534 20637 28204 34490
126 17  5     553 11535 20638 28205 34491
127 17  6     554 11536 20639 28206 34492 39576
128 17  6     555 11537 20640 28207 34493 39577
129 17  7     556 11538 20641 28208 34494 39578 43722
130 17 10     557 11539 20642 28209 34495 39579 43723 46983 49495 51289
131 17 12     558 11540 20643 28210 34496 39580 43724 46984 49496 51290 52602 53638
132 17 12     559 11541 20644 28211 34497 39581 43725 46985 49497 51291 52603 53639
133 17 12     560 11542 20645 28212 34498 39582 43726 46986 49498 51292 52604 53640
134 17  4     561 11543 20646 28213
135 17  4     562 11544 20647 28214
136 17  4     563 11545 20648 28215
137 17  4     564 11546 20649 28216
138 17  4     565 11547 20650 28217
139 17  5     566 11548 20651 28218 34499
140 17  6     567 11549 20652 28219 34500 39583
141 17  6     568 11550 20653 28220 34501 39584
142 17  6     569 11551 20654 28221 34502 39585
143 17  6     570 11552 20655 28222 34503 39586
144 17  8     571 11553 20656 28223 34504 39587 43727 46987
145 17  4     572 11554 20657 28224
147 17  1     573
148 17  1     574
 80 18  1     575
 81 18  1     576
 83 18  1     577
 84 18  1     578
 85 18  2     579 11555
 86 18  2     580 11556
 87 18  2     581 11557
 88 18  2     582 11558
 89 18  2     583 11559
 90 18  2     584 11560
 91 18  1     585
 92 18  1     586
 93 18  1     587
 94 18  1     588
 95 18  1     589
 96 18  1     590
 97 18  1     591
 98 18  1     592
 99 18  1     593
100 18  2     594 11561
101 18  2     595 11562
102 18  3     596 11563 20658
103 18  3     597 11564 20659
104 18  3     598 11565 20660
105 18  3     599 11566 20661
106 18  3     600 11567 20662
107 18  6     601 11568 20663 28225 34505 39588
108 18  7     602 11569 20664 28226 34506 39589 43728
111 18  1     603
113 18  4     604 11570 20665 28227
114 18  4     605 11571 20666 28228
115 18  4     606 11572 20667 28229
116 18  5     607 11573 20668 28230 34507
117 18  7     608 11574 20669 28231 34508 39590 43729
118 18  7     609 11575 20670 28232 34509 39591 43730
119 18  7     610 11576 20671 28233 34510 39592 43731
120 18  7     611 11577 20672 28234 34511 39593 43732
121 18  5     612 11578 20673 28235 34512
122 18  5     613 11579 20674 28236 34513
123 18  4     614 11580 20675 28237
124 18  4     615 11581 20676 28238
125 18  5     616 11582 20677 28239 34514
126 18  6     617 11583 20678 28240 34515 39594
127 18  6     618 11584 20679 28241 34516 39595
128 18  7     619 11585 20680 28242 34517 39596 43733
129 18  7     620 11586 20681 28243 34518 39597 43734
130 18 10     621 11587 20682 28244 34519 39598 43735 46988 49499 51293
131 18 12     622 11588 20683 28245 34520 39599 43736 46989 49500 51294 52605 53641
132 18 12     623 11589 20684 28246 34521 39600 43737 46990 49501 51295 52606 53642
133 18 12     624 11590 20685 28247 34522 39601 43738 46991 49502 51296 52607 53643
134 18  4     625 11591 20686 28248
135 18  4     626 11592 20687 28249
136 18  4     627 11593 20688 28250
137 18  6     628 11594 20689 28251 34523 39602
138 18  6     629 11595 20690 28252 34524 39603
139 18  6     630 11596 20691 28253 34525 39604
140 18  6     631 11597 20692 28254 34526 39605
141 18  4     632 11598 20693 28255
142 18  4     633 11599 20694 28256
143 18  5     634 11600 20695 28257 34527
144 18  8     635 11601 20696 28258 34528 39606 43739 46992
145 18  8     636 11602 20697 28259 34529 39607 43740 46993
146 18  8     637 11603 20698 28260 34530 39608 43741 46994
147 18  8     638 11604 20699 28261 34531 39609 43742 46995
148 18  2     639 11605
 76 19  1     640
 77 19  1     641
 78 19  1     642
 79 19  2     643 11606
 80 19  2     644 11607
 81 19  2     645 11608
 82 19  1     646
 83 19  1     647
 84 19  3     648 11609 20700
 85 19  4     649 11610 20701 28262
 86 19  3     650 11611 20702
 87 19  2     651 11612
 88 19  2     652 11613
 89 19  2     653 11614
 90 19  3     654 11615 20703
 91 19  2     655 11616
 92 19  2     656 11617
 93 19  2     657 11618
 94 19  2     658 11619
 95 19  1     659
 96 19  1     660
 97 19  1     661
 98 19  1     662
 99 19  1     663
100 19  2     664 11620
101 19  2     665 11621
102 19  3     666 11622 20704
103 19  3     667 11623 20705
104 19  4     668 11624 20706 28263
